BORO,BLOCK,LOT,PARCEL_NAME,PARCEL_ADDRESS,JURIS,Jurisdiction Description,RPAD,RPAD_DESCRIPTION,PROP_FRONT,PROP_DEPTH,PROP_SQFT,IRREG,BLD_FRONT,BLD_DEPTH,BLD_SQFT,NUM_BLD,FLOORS,CD,COUNCIL_DISTRICT,COUNCILMEMBER_NAME,PR_ZONE,OV_ZONE,SD_ZONE,BBL,WATERFRONT,URBAN RENEWAL SITE,Agency,Owned/Leased,Primary Use Text,Final Commitment Text,Agreement (Lease-Out)
2,2779,1,HUNTS PT WPCP /SANITATION CTR,,SANIT,DEPT OF SANITATION,Y9,"DEPT OF GAS, WATER, & ELEC",424,394,299000,I,,,800,1,,2,17,MARIA DEL CARMEN ARROYO,M3-1,,,2027790001,Y,,SANIT,O,NO USE-VACANT LAND,,
3,8470,150,,AVE Y EAST MILL,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,360,474,9907500,I,,,16200,1,,18,46,LEWIS A. FIDLER,PARK,,,3084700150,Y,,DSBS,O,NO USE-VACANT LAND,,
2,2604,300,UPLAND / L.U.W,,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,25,999,44500,,,,,,,2,17,MARIA DEL CARMEN ARROYO,M3-1,,,2026040300,Y,,DSBS,O,NO USE-VACANT LAND,,
2,5541,250,UPLAND,UPLAND,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,1,100,126,,,,,,,10,18,ANNABEL PALMA,M1-2,,,2055410250,Y,,DSBS,O,NO USE-VACANT LAND,,
2,5611,28,UPLAND/L.U.W,BRUSH AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,88,244,10340,I,,,,,,10,18,ANNABEL PALMA,M1-1,,,2056110028,Y,,DSBS,O,NO USE-VACANT LAND,,
2,5525,14,,PENNYFIELD AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,810,200,162017,,,,,,,10,13,JAMES VACCA,C3A,,,2055250014,Y,,DSBS,O,NO USE-VACANT LAND,,
2,2781,400,HUNTS PT MARKET EXPANSION AREA,HUNTS PT,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,148,872,129611,,,,,,,2,17,MARIA DEL CARMEN ARROYO,M3-1,,,2027810400,,,EDC,O,NO USE-VACANT LAND,,
5,1,60,FORMER COAST GUARD BASE,5 BAY STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,372,234,334565,I,104,111,187121,7,2,1,49,DEBORAH ROSE,C4-2,,SG,5000010060,Y,,EDC,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
2,2341,150,,195 EAST 138 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,U2,ELECTRIC UTILITIES,53,243,5775,I,24,27,653,1,1,1,17,MARIA DEL CARMEN ARROYO,M1-2,,,2023410150,,,DCAS,O,NO USE-VACANT LAND,,
3,3677,1,,191 SACKMAN STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,F9,FACTORY/INDUSTRY  MISCELLANEOUS,25,100,2500,,,,,,,16,37,ERIK MARTIN DILAN,M1-4,,,3036770001,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
2,5380,25,,2919 EAST TREMONT AVENUE,DEP,DEPT OF ENVIRONMENTAL PROTECTION,F9,FACTORY/INDUSTRY  MISCELLANEOUS,40,171,6676,I,20,80,3600,1,1,11,13,JAMES VACCA,M1-1,,,2053800025,,,DEP,O,NO USE-VACANT LAND,,
3,3729,13,E BKLYN INDUSTRIAL INCUBATOR,181 POWELL STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,F3,FACTORY/ONE STORY/FIREPROOF,37,100,3750,,37,50,1875,1,1,16,42,CHARLES BARRON,M1-4,,,3037290013,,,DCAS,O,NO USE-VACANT LAND,,
3,3729,22,E BKLYN INDUSTRIAL INCUBATOR,1876 PITKIN AVENUE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,F3,FACTORY/ONE STORY/FIREPROOF,50,100,5000,,100,50,5000,1,1,16,42,CHARLES BARRON,M1-4,,,3037290022,,,DCAS,O,NO USE-VACANT LAND,,
3,3729,1,E BKLYN INDUSTRIAL INCUBATOR,169 BELMONT AVENUE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,F3,FACTORY/ONE STORY/FIREPROOF,25,100,2500,,25,50,1250,1,1,16,42,CHARLES BARRON,M1-4,,,3037290001,,,DCAS,O,NO USE-VACANT LAND,,
3,3729,2,E BKLYN INDUSTRIAL INCUBATOR,205 POWELL STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,F3,FACTORY/ONE STORY/FIREPROOF,50,100,5000,,50,50,2500,1,1,16,42,CHARLES BARRON,M1-4,,,3037290002,,,DCAS,O,NO USE-VACANT LAND,,
3,3729,7,E BKLYN INDUSTRIAL INCUBATOR,187 POWELL STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,F3,FACTORY/ONE STORY/FIREPROOF,50,100,5000,,50,50,2500,1,1,16,42,CHARLES BARRON,M1-4,,,3037290007,,,DCAS,O,NO USE-VACANT LAND,,
3,3729,10,E BKLYN INDUSTRIAL INCUBATOR,185 POWELL STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,F3,FACTORY/ONE STORY/FIREPROOF,50,100,5000,,50,50,2500,1,1,16,42,CHARLES BARRON,M1-4,,,3037290010,,,DCAS,O,NO USE-VACANT LAND,,
3,3729,38,E BKLYN INDUSTRIAL INCUBATOR,204 JUNIUS STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,F3,FACTORY/ONE STORY/FIREPROOF,100,100,10000,,90,50,5000,1,1,16,42,CHARLES BARRON,M1-4,,,3037290038,,,DCAS,O,NO USE-VACANT LAND,,
3,3729,15,E BKLYN INDUSTRIAL INCUBATOR,183 POWELL STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,F3,FACTORY/ONE STORY/FIREPROOF,37,100,3750,,37,50,1875,1,1,16,42,CHARLES BARRON,M1-4,,,3037290015,,,DCAS,O,NO USE-VACANT LAND,,
3,3729,20,E BKLYN INDUSTRIAL INCUBATOR,1868 PITKIN AVENUE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,F3,FACTORY/ONE STORY/FIREPROOF,50,100,5000,,100,50,5000,1,1,16,42,CHARLES BARRON,M1-4,,,3037290020,,,DCAS,O,NO USE-VACANT LAND,,
4,13924,181,SOUTH SHORE RESIDUE LANDFILL,157 ROAD,SANIT,DEPT OF SANITATION,Y6,GOV'T INSTALATION/DEPT OF SANIT,482,200,129000,I,,,,,,10,32,ERIC A ULRICH,R3-2,,,4139240181,Y,,SANIT,O,NO USE-VACANT LAND,,
2,2276,1,HORIZON JUVJ CTR/HPD URSITE 8A,560 BROOK AVENUE,JOINT,JOINT JURIS AMONG CITY AGENCIES,Y3,"GOV'T INSTAL/PRISONS,JAILS,ETC",150,524,253938,I,264,317,86116,2,2,1,17,MARIA DEL CARMEN ARROYO,M1-1,C1-4,,2022760001,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
4,15918,2,ROCKAWAY HEALTH CENTER,67-10 ROCKAWAY BEACH BOULEVARD,MIXED,CITY AND NON-CITY OWNERSHIP,I5,"HLTH CENTR, CHILD CENTR, CLNIC",200,156,28494,I,,,,,,14,31,"JAMES SANDERS, JR",R6,C2-4,,4159180002,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
1,1671,1,SANIT. USE MANHATTAN 11 GARAGE,343 EAST 99 STREET,HHC,HEALTH AND HOSPITALS CORPORATION,I0,HOSPITALS AND HEALTH,40,550,49146,I,100,178,37128,1,2,11,8,MELISSA MARK VIVERITO,R7A,C1-5,,1016710001,,,HHC,O,NO USE-VACANT LAND,,
3,2467,10,,380 KENT AVENUE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,Z6,LAND UNDER WATER,250,490,121875,I,,,,,,1,33,STEPHEN LEVIN,M3-1,,,3024670010,Y,,DCAS,O,NO USE-VACANT LAND,,
1,2105,51,,HARLEM RIVER DR,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,Z6,LAND UNDER WATER,752,400,301132,I,,,,,,10,9,INEZ E. DICKENS,R7-2,,,1021050051,Y,,DCAS,O,NO USE-VACANT LAND,,
4,15481,530,BROAD CHANNEL LIBRARY/PARK,16-26 CROSS BAY BOULEVARD,JOINT,JOINT JURIS AMONG CITY AGENCIES,P8,LIBRARY,410,195,81950,,,,1600,1,1,10,32,ERIC A ULRICH,R3-2,,,4154810530,,,DCAS,O,NO USE-VACANT LAND,,
4,4317,1,ASPHALT PLANT,120-30 28 AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,G9,MISCELLANEOUS,100,375,37500,,65,27,1755,1,1,7,19,DANIEL HALLORAN,M2-1,,CP,4043170001,,Y,EDC,O,NO USE-VACANT LAND,,
3,3567,5,MARCUS GARVEY URA,35 LIVONIA AVENUE,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,G9,MISCELLANEOUS,25,30,750,I,25,30,750,1,1,16,42,CHARLES BARRON,R6,C2-3,,3035670005,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
3,3232,47,,1315 DE KALB AVENUE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,G9,MISCELLANEOUS,20,35,650,I,20,20,400,1,1,4,34,DIANA REYNA,R6,C2-3,,3032320047,,,DCAS,O,NO USE-VACANT LAND,,
3,148,7,TWO METROTECH CENTER URA,7 LAWRENCE STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,O1,OFCE BLG/FIREPROOF TO 9 STORIES,250,215,53750,,160,230,598232,1,11,2,33,STEPHEN LEVIN,C6-1A,,DB,3001480007,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
2,2647,30,,727 FOREST AVE,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,A5,ONE FAM/ATTACH OR SEMI-DETACH,32,87,2815,,18,32,1152,1,2,1,17,MARIA DEL CARMEN ARROYO,R6,,,2026470030,,,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
2,2385,57,,935 WASHINGTON AVENUE,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,G7,ONE OR TWO CAR GARAGE,34,100,3450,,26,55,1015,1,1,3,16,HELEN D. FOSTER,C4-4,,,2023850057,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
3,3774,138,,390-02 WYONA STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,G7,ONE OR TWO CAR GARAGE,40,100,4000,,,,,1,,5,37,ERIK MARTIN DILAN,R6,,,3037740138,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
3,7061,21,,2930-34 WEST 17 STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,G7,ONE OR TWO CAR GARAGE,60,150,11729,,,,,1,,13,47,"DOMENIC M. RECCHIA, JR",R7X,C2-4,CI,3070610021,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
3,7061,39,,2929 WEST 19 STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,G7,ONE OR TWO CAR GARAGE,20,85,1714,,,,,1,,13,47,"DOMENIC M. RECCHIA, JR",R7X,C2-4,CI,3070610039,,,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
3,2272,53,,663 FLUSHING AVENUE,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,G7,ONE OR TWO CAR GARAGE,25,80,2000,,,,,1,,1,33,STEPHEN LEVIN,R7A,C2-4,,3022720053,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
3,2048,9,,121-29 DUFFIELD STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,G7,ONE OR TWO CAR GARAGE,102,43,2219,I,,,,,,2,35,LETITIA JAMES,C6-1A,,DB,3020480009,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
4,10161,3,,163-10 SOUTH ROAD,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,G7,ONE OR TWO CAR GARAGE,61,80,4865,I,,,,2,,12,27,"LEROY G. COMRIE, JR",R5D,C1-4,,4101610003,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
3,2272,11,,36 BARTLETT STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,G7,ONE OR TWO CAR GARAGE,50,100,5000,,,,,1,,1,33,STEPHEN LEVIN,R7A,,,3022720011,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
3,2791,35,MAUJER STREET URA,37 TEN EYCK STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,G7,ONE OR TWO CAR GARAGE,25,100,2500,,,,,1,,1,34,DIANA REYNA,R6B,,,3027910035,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
3,2272,52,,0 FLUSHING AVENUE,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,G7,ONE OR TWO CAR GARAGE,25,80,2000,,,,,1,,1,33,STEPHEN LEVIN,R7A,C2-4,,3022720052,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
4,4238,33,FLUSHING AIRPORT,2323 LINDEN PLACE,DSBS,DEPT OF SMALL BUSINESS SERVICES,Z9,OTHER,263,270,64300,I,60,80,4800,1,1,7,19,DANIEL HALLORAN,M2-1,,CP,4042380033,,,DSBS,O,NO USE-VACANT LAND,,
5,6332,67,PART OF LOT 67  R-98,HUGUENOT AVE,JOINT,JOINT JURIS AMONG CITY AGENCIES,Q1,PARKS,50,205,8500,I,,,,,,3,51,VINCENT IGNIZIO,R3X,C1-2,SRD,5063320067,,,NYPD,O,NO USE-VACANT LAND,,
5,6378,38,BLUE HERON PARK  R-119,HOLDRIDGE AVE,PARKS,DEPT OF PARKS & RECREATION,Q1,PARKS,65,160,10525,,,,,,,3,51,VINCENT IGNIZIO,R1-2,,SRD,5063780038,,,DOT,O,NO USE-VACANT LAND,,
3,142,100,METRO TECH CENTER CONCOURSE,5 METROTECH CENTER,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,Q1,PARKS,215,220,47300,,,,,1,,2,33,STEPHEN LEVIN,C6-1A,,DB,3001420100,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
5,6378,46,PART OF LOT BLUE HERON POND PK,HOLDRIDGE AVE,PARKS,DEPT OF PARKS & RECREATION,Q1,PARKS,65,40,2631,,,,,,,3,51,VINCENT IGNIZIO,R1-2,,SRD,5063780046,,,DOT,O,NO USE-VACANT LAND,,
5,6382,37,BLUE HERON PARK R-119,HOLDRIDGE AVE,PARKS,DEPT OF PARKS & RECREATION,Q1,PARKS,50,60,3000,,,,,,,3,51,VINCENT IGNIZIO,R1-2,,SRD,5063820037,,,DOT,O,NO USE-VACANT LAND,,
5,6382,40,BLUE HERON PARK R-119,HOLDRIDGE AVE,PARKS,DEPT OF PARKS & RECREATION,Q1,PARKS,50,80,4000,,,,,,,3,51,VINCENT IGNIZIO,R1-2,,SRD,5063820040,,,DOT,O,NO USE-VACANT LAND,,
5,6382,44,BLUE HERON PARK  R-119,HOLDRIDGE AVE,PARKS,DEPT OF PARKS & RECREATION,Q1,PARKS,50,20,1000,,,,,,,3,51,VINCENT IGNIZIO,R1-2,,SRD,5063820044,,,DOT,O,NO USE-VACANT LAND,,
5,6382,45,PART OF LOT BLUE HERON POND PK,HOLDRIDGE AVE,PARKS,DEPT OF PARKS & RECREATION,Q1,PARKS,50,40,2000,,,,,,,3,51,VINCENT IGNIZIO,R1-2,,SRD,5063820045,,,DOT,O,NO USE-VACANT LAND,,
5,6332,78,PART OF LOT 78  R-98,HUGUENOT AVE,JOINT,JOINT JURIS AMONG CITY AGENCIES,Q1,PARKS,78,245,43450,I,,,,,,3,51,VINCENT IGNIZIO,R3X,C1-2,SRD,5063320078,,,NYPD,O,NO USE-VACANT LAND,,
1,2016,110,,HARLEM RIVER DRIVE,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",260,53,13910,I,,,,,,10,9,INEZ E. DICKENS,R7-2,,,1020160110,Y,,DSBS,O,NO USE-VACANT LAND,,
1,1813,106,,EAST 125 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",60,257,15471,,,,,,,11,8,MELISSA MARK VIVERITO,R7-2,,,1018130106,Y,,DSBS,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
5,488,250,HOMEPORT,,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",1385,23,,I,,,,,,1,49,DEBORAH ROSE,M1-1,,,5004880250,,,DSBS,O,NO USE-VACANT LAND,,
1,1794,80,,HARLEM RIVER DRIVE,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",812,1,812,I,,,,,,11,8,MELISSA MARK VIVERITO,M2-2,,,1017940080,Y,,DSBS,O,NO USE-VACANT LAND,,
1,2016,65,,HARLEM RIVER DRIVE,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",240,17,46000,I,,,,,,10,9,INEZ E. DICKENS,R7-2,,,1020160065,Y,,DSBS,O,NO USE-VACANT LAND,,
1,1628,43,SCAN PLAYGROUND,EAST 101 STREET,PARKS,DEPT OF PARKS & RECREATION,Q2,PLAYGROUNDS,25,100,2523,,,,,1,,11,8,MELISSA MARK VIVERITO,PARK,,,1016280043,,,PARKS,O,NO USE-VACANT LAND,,
1,1628,42,SCAN PLAYGROUND,192 EAST 101 STREET,PARKS,DEPT OF PARKS & RECREATION,Q2,PLAYGROUNDS,25,100,2523,,,,,1,,11,8,MELISSA MARK VIVERITO,PARK,,,1016280042,,,PARKS,O,NO USE-VACANT LAND,,
1,1628,44,SCAN PLAYGROUND,188 EAST 101 STREET,PARKS,DEPT OF PARKS & RECREATION,Q2,PLAYGROUNDS,25,100,2523,,,,,1,,11,8,MELISSA MARK VIVERITO,PARK,,,1016280044,,,PARKS,O,NO USE-VACANT LAND,,
3,3855,1,NEHEMIAH PLAN PHASE II,853 NEW LOTS AVENUE,MIXED,CITY AND NON-CITY OWNERSHIP,S3,"PRIME 3FAM W/STORE,OFFICE",41,100,4100,,18,31,1116,1,2,16,42,CHARLES BARRON,R6,C2-3,,3038550001,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
5,2,5,STATEN ISLAND FERRY TERMINAL,BOROUGH PLACE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,Z2,PUBLIC PARKING AREAS,454,356,237151,I,,,,,,1,49,DEBORAH ROSE,M1-1,,,5000020005,Y,,DCAS,O,NO USE-VACANT LAND,,
5,68,35,,RICHMOND TERRACE,DSBS,DEPT OF SMALL BUSINESS SERVICES,U6,"RAILROADS, PRIVATE OWNERSHP",354,93,32922,,,,,,,1,49,DEBORAH ROSE,M3-1,,,5000680035,Y,,DSBS,O,NO USE-VACANT LAND,,
2,2364,58,,,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,U6,"RAILROADS, PRIVATE OWNERSHP",43,308,,I,,,,,,1,17,MARIA DEL CARMEN ARROYO,R8,C1-4,,2023640058,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
5,1226,13,,BUSH AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,U6,"RAILROADS, PRIVATE OWNERSHP",13,103,1339,,,,,,,1,49,DEBORAH ROSE,M1-1,,,5012260013,,,DSBS,O,NO USE-VACANT LAND,,
5,1226,54,,UNION AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,U6,"RAILROADS, PRIVATE OWNERSHP",3,26,,I,,,,,,1,49,DEBORAH ROSE,R3A,,,5012260054,,,DSBS,O,NO USE-VACANT LAND,,
5,1237,164,,LOCKMAN AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,U6,"RAILROADS, PRIVATE OWNERSHP",8,530,,I,,,,,,1,49,DEBORAH ROSE,M2-1,,,5012370164,,,DSBS,O,NO USE-VACANT LAND,,
5,1226,100,,LEYDEN AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,U6,"RAILROADS, PRIVATE OWNERSHP",13,112,1456,,,,,,,1,49,DEBORAH ROSE,R3A,,,5012260100,,,DSBS,O,NO USE-VACANT LAND,,
5,1227,1,,HARBOR ROAD,DSBS,DEPT OF SMALL BUSINESS SERVICES,U6,"RAILROADS, PRIVATE OWNERSHP",11,136,1496,,,,,,,1,49,DEBORAH ROSE,R3A,,,5012270001,,,DSBS,O,NO USE-VACANT LAND,,
5,1227,2,,HARBOR ROAD,DSBS,DEPT OF SMALL BUSINESS SERVICES,U6,"RAILROADS, PRIVATE OWNERSHP",12,29,348,,,,,,,1,49,DEBORAH ROSE,R3A,,,5012270002,,,DSBS,O,NO USE-VACANT LAND,,
5,1227,115,,BUSH AVENUE,DSBS,DEPT OF SMALL BUSINESS SERVICES,U6,"RAILROADS, PRIVATE OWNERSHP",11,100,,I,,,,,,1,49,DEBORAH ROSE,R3A,,,5012270115,,,DSBS,O,NO USE-VACANT LAND,,
5,1236,180,,HARBOR ROAD,DSBS,DEPT OF SMALL BUSINESS SERVICES,U6,"RAILROADS, PRIVATE OWNERSHP",16,103,1648,,,,,,,1,49,DEBORAH ROSE,R3A,,,5012360180,,,DSBS,O,NO USE-VACANT LAND,,
3,5289,9,,0 10 AVENUE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,U8,REVOCABLE CONSENTS,50,849,,I,,,,,,12,38,SARA M. GONZALEZ,M1-2,,,3052890009,,,DCAS,O,NO USE-VACANT LAND,,
4,10100,1,JAMAICA CENTER SITE I,159-02 JAMAICA AVENUE,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,K6,SHOPPING CENTER W/PARKING FACILS,254,317,83000,I,250,300,400000,1,3,12,27,"LEROY G. COMRIE, JR",C6-3,,DJ,4101000001,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
1,1771,128,,175 EAST 122 STREET,MIXED,CITY AND NON-CITY OWNERSHIP,K4,STORES/WITH APARTMENTS ABOVE,61,88,5379,I,20,88,3984,1,2,11,8,MELISSA MARK VIVERITO,R7-2,,,1017710128,,,DCAS,O,NO USE-VACANT LAND,,
3,8152,1,CANARSIE SUBSTATION & YARD,103-01 FARRAGUT ROAD,EDC,ECONOMIC DEVELOPMENT CORPORATION,U7,"TRANSPORTATION, PUBLIC OWNERSHIP",139,142,,I,,,,,,18,42,CHARLES BARRON,M1-1,,,3081520001,,,EDC,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
3,5201,33,,NEWKIRK AVE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,U7,"TRANSPORTATION, PUBLIC OWNERSHIP",9,106,740,I,,,,,,14,40,MATHIEU EUGENE,R6A,C2-4,,3052010033,,,DCAS,O,NO USE-VACANT LAND,,
4,3150,78,WHITE POT JUNCTION R.O.W,ALDERTON STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,U7,"TRANSPORTATION, PUBLIC OWNERSHIP",140,987,,I,,,,,,6,29,KAREN KOSLOWITZ,R4,C1-2,,4031500078,,,DCAS,O,NO USE-VACANT LAND,,
